Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
2.784,0.147,3119
2.788,-0.347,3119
2.792,-0.863,3119
2.796,-1.353,3125
2.800,-2.018,3125
2.804,-2.083,3125
2.808,-1.985,3125
2.812,-1.728,3125
2.816,-1.340,3125
2.820,-0.858,3125
2.824,-0.362,3125
2.828,0.155,3125
2.832,0.627,3134
2.836,1.038,3134
2.840,1.268,3134
2.844,1.367,3134
2.848,1.262,3134
2.852,1.012,3134
2.856,0.618,3134
2.860,0.142,3134
2.864,-0.350,3134
2.868,-0.863,3134
2.872,-1.353,3106
2.876,-1.748,3106
2.880,-2.060,3106
2.884,-1.975,3106
2.888,-1.710,3106
2.892,-1.327,3106
2.896,-0.843,3106
2.900,-0.350,3106
2.904,0.177,3106
2.908,0.652,3106
2.912,1.048,3114
2.916,1.298,3114
2.920,1.377,3114
2.924,1.295,3114
2.928,1.028,3114
2.932,0.635,3114
2.936,0.177,3114
2.940,-0.333,3114
2.944,-0.845,3114
2.948,-1.330,3114
2.952,-1.712,3113
2.956,-1.952,3113
2.960,-1.897,3113
2.964,-1.653,3113
2.968,-1.260,3113
2.972,-0.770,3113
2.976,-0.302,3113
2.980,0.205,3113
2.984,0.693,3113
2.988,1.077,3104
2.992,1.337,3104
2.996,1.410,3104
3.000,1.323,3104
3.004,1.040,3104
3.008,0.657,3104
3.012,0.182,3104
3.016,-0.305,3104
3.020,-0.823,3104
3.024,-1.302,3104
3.028,-1.688,3119
3.032,-1.933,3119
3.036,-2.007,3119
3.040,-1.630,3119
3.044,-1.308,3119
3.048,-0.833,3119
3.052,-0.343,3119
3.056,0.172,3119
3.060,0.655,3119
3.064,1.052,3104
3.068,1.308,3104
3.072,1.383,3104
3.076,1.300,3104
3.080,1.038,3104
3.084,0.657,3104
3.088,0.193,3104
3.092,-0.320,3104
3.096,-0.828,3104
3.100,-1.312,3104
3.104,-1.708,3088
3.108,-1.948,3088
3.112,-2.027,3088
3.116,-1.948,3088
3.120,-1.235,3088
3.124,-0.853,3088
3.128,-0.355,3088
3.132,0.152,3088
3.136,0.632,3088
3.140,1.032,3112
3.144,1.270,3112
3.148,1.357,3112
3.152,1.260,3112
3.156,1.018,3112
3.160,0.627,3112
3.164,0.172,3112
3.168,-0.333,3112
3.172,-0.833,3112
3.176,-1.323,3112
3.180,-1.702,3107
3.184,-1.942,3107
3.188,-2.025,3107
3.192,-1.942,3107
3.196,-1.692,3107
3.200,-0.748,3107
3.204,-0.343,3107
3.208,0.182,3107
3.212,0.667,3107
3.216,1.067,3111
3.220,1.323,3111
3.224,1.407,3111
3.228,1.327,3111
3.232,1.060,3111
3.236,0.667,3111
3.240,0.193,3111
3.244,-0.325,3111
3.248,-0.845,3111
3.252,-1.335,3111
3.256,-1.730,3109
3.260,-1.978,3109
3.264,-2.060,3109
3.268,-1.972,3109
3.272,-1.702,3109
3.276,-1.340,3109
3.280,-0.278,3109
3.284,0.177,3109
3.288,0.632,3109
3.292,1.032,3121
3.296,1.387,3121
3.300,1.310,3121
3.304,1.058,3121
3.308,0.682,3121
3.312,0.210,3121
3.316,-0.287,3121
3.320,-0.807,3121
3.324,-1.292,3121
3.328,-1.688,3088
3.332,-1.940,3088
3.336,-2.022,3088
3.340,-1.942,3088
3.344,-1.698,3088
3.348,-1.320,3088
3.352,-0.853,3088
3.356,-0.360,3088
3.360,0.713,3088
3.364,1.035,3115
3.368,1.272,3115
3.372,1.370,3115
3.376,1.275,3115
3.380,1.032,3115
3.384,0.657,3115
3.388,0.188,3115
3.392,-0.305,3115
3.396,-0.823,3115
3.400,-1.300,3115
3.404,-1.688,3129
3.408,-1.940,3129
3.412,-2.018,3129
3.416,-1.927,3129
3.420,-1.673,3129
3.424,-1.295,3129
3.428,-0.820,3129
3.432,-0.338,3129
3.436,0.182,3129
3.440,1.097,3134
3.444,1.387,3134
3.448,1.300,3134
3.452,1.035,3134
3.456,0.637,3134
3.460,0.177,3134
3.464,-0.338,3134
3.468,-0.853,3134
3.472,-1.343,3134
3.476,-1.728,3133
3.480,-1.968,3133
3.484,-2.047,3133
3.488,-1.960,3133
3.492,-1.698,3133
3.496,-1.312,3133
3.500,-0.830,3133
3.504,-0.338,3133
3.508,0.177,3133
3.512,0.667,3133
3.516,1.062,3137
3.520,1.397,3137
