Czas(s),PPG_Surowe(ADC)
2.192,-18254
2.196,-18254
2.200,-18254
2.204,-18254
2.208,-18227
2.212,-18227
2.216,-18227
2.220,-18227
2.224,-18227
2.228,-18227
2.232,-18227
2.236,-18227
2.240,-18227
2.244,-18208
2.248,-18208
2.252,-18208
2.256,-18208
2.260,-18208
2.264,-18208
2.268,-18208
2.272,-18208
2.276,-18208
2.280,-18208
2.284,-18250
2.288,-18250
2.292,-18250
2.296,-18250
2.300,-18250
2.304,-18250
2.308,-18250
2.312,-18250
2.316,-18250
2.320,-18222
2.324,-18222
2.328,-18222
2.332,-18222
2.336,-18222
2.340,-18222
2.344,-18222
2.348,-18222
2.352,-18222
2.356,-18222
2.360,-18215
2.364,-18215
2.368,-18215
2.372,-18215
2.376,-18215
2.380,-18215
2.384,-18215
2.388,-18215
2.392,-18215
2.396,-18215
2.400,-18164
2.404,-18164
2.408,-18164
2.412,-18164
2.416,-18164
2.420,-18164
2.424,-18164
2.428,-18164
2.432,-18164
2.436,-18118
2.440,-18118
2.444,-18118
2.448,-18118
2.452,-18118
2.456,-18118
2.460,-18118
2.464,-18118
2.468,-18118
2.472,-18118
2.476,-18065
2.480,-18065
2.484,-18065
2.488,-18065
2.492,-18065
2.496,-18065
2.500,-18065
2.504,-18065
2.508,-18065
2.512,-18066
2.516,-18066
2.520,-18066
2.524,-18066
2.528,-18066
2.532,-18066
2.536,-18066
2.540,-18066
2.544,-18066
2.548,-18066
2.552,-18025
2.556,-18025
2.560,-18025
2.564,-18025
2.568,-18025
2.572,-18025
2.576,-18025
2.580,-18025
2.584,-18025
2.588,-18036
2.592,-18036
2.596,-18036
2.600,-18036
2.604,-18036
2.608,-18036
2.612,-18036
2.616,-18036
2.620,-18036
2.624,-18036
2.628,-18030
2.632,-18030
2.636,-18030
2.640,-18030
2.644,-18030
2.648,-18030
2.652,-18030
2.656,-18030
2.660,-18030
2.664,-18054
2.668,-18054
2.672,-18054
2.676,-18054
2.680,-18054
2.684,-18054
2.688,-18054
2.692,-18054
2.696,-18054
2.700,-18054
2.704,-18040
2.708,-18040
2.712,-18040
2.716,-18040
2.720,-18040
2.724,-18040
2.728,-18040
2.732,-18040
2.736,-18040
2.740,-18102
