Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.988,1.015,3108
0.990,0.983,3108
0.992,0.797,3115
0.994,0.497,3115
0.996,0.117,3115
0.998,-0.297,3115
1.000,-1.202,3115
1.002,-1.498,3115
1.004,-1.728,3115
1.006,-1.833,3115
1.008,-1.792,3115
1.010,-1.623,3124
1.012,-1.308,3124
1.014,-0.917,3124
1.016,-0.512,3124
1.018,-0.087,3124
1.020,0.343,3124
1.022,0.700,3124
1.024,0.938,3124
1.026,1.055,3124
1.028,1.025,3124
1.030,0.855,3100
1.032,0.550,3100
1.034,0.188,3100
1.036,-0.228,3100
1.038,-0.662,3100
1.040,-1.502,3100
1.042,-1.827,3100
1.044,-1.810,3100
1.046,-1.643,3107
1.048,-1.333,3107
1.050,-0.943,3107
1.052,-0.532,3107
1.054,-0.107,3107
1.056,0.310,3107
1.058,0.677,3107
1.060,0.927,3107
1.062,1.035,3107
1.064,1.018,3107
1.066,0.848,3137
1.068,0.537,3137
1.070,0.158,3137
1.072,-0.247,3137
1.074,-0.688,3137
1.076,-1.100,3137
1.078,-1.468,3137
1.080,-1.823,3137
1.082,-1.795,3137
1.084,-1.623,3128
1.086,-1.325,3128
1.088,-0.943,3128
1.090,-0.537,3128
1.092,-0.100,3128
1.094,0.333,3128
1.096,0.698,3128
1.098,0.943,3128
1.100,1.062,3128
1.102,1.035,3128
1.104,0.868,3107
1.106,0.573,3107
1.108,0.193,3107
1.110,-0.225,3107
1.112,-0.670,3107
1.114,-1.097,3107
1.116,-1.472,3107
1.118,-1.715,3107
1.120,-1.792,3107
1.122,-1.643,3155
1.124,-1.337,3155
1.126,-0.948,3155
1.128,-0.537,3155
1.130,-0.100,3155
1.132,0.333,3155
1.134,0.695,3155
1.136,0.938,3155
1.138,1.050,3155
1.140,1.028,3155
1.142,0.855,3124
1.144,0.550,3124
1.146,0.188,3124
1.148,-0.225,3124
1.150,-0.660,3124
1.152,-1.083,3124
1.154,-1.442,3124
1.156,-1.673,3124
1.158,-1.788,3124
1.160,-1.545,3117
1.162,-0.907,3117
1.164,-0.512,3117
1.166,-0.098,3117
1.168,0.333,3117
1.170,0.693,3117
1.172,0.932,3117
1.174,1.052,3117
1.176,1.032,3117
1.178,0.873,3115
1.180,0.578,3115
1.182,0.198,3115
1.184,-0.220,3115
1.186,-0.652,3115
1.188,-1.067,3115
1.190,-1.423,3115
1.192,-1.673,3115
1.194,-1.802,3115
1.196,-1.782,3115
1.198,-1.613,3132
1.200,-0.887,3132
1.202,-0.545,3132
1.204,-0.113,3132
1.206,0.307,3132
1.208,0.677,3132
1.210,0.927,3132
1.212,1.052,3132
1.214,1.035,3132
1.216,0.863,3122
1.218,0.557,3122
1.220,0.193,3122
1.222,-0.223,3122
1.224,-0.657,3122
1.226,-1.067,3122
1.228,-1.448,3122
1.230,-1.688,3122
1.232,-1.812,3122
1.234,-1.780,3122
1.236,-1.615,3148
1.238,-1.327,3148
1.240,-0.485,3148
1.242,-0.095,3148
1.244,0.347,3148
1.246,0.667,3148
1.248,0.907,3148
1.250,1.032,3148
1.252,1.018,3148
1.254,0.853,3123
1.256,0.547,3123
1.258,0.172,3123
1.260,-0.242,3123
1.262,-0.667,3123
1.264,-1.073,3123
1.266,-1.445,3123
1.268,-1.688,3123
1.270,-1.805,3123
1.272,-1.778,3123
1.274,-1.615,3119
1.276,-1.312,3119
1.278,-0.927,3119
1.280,-0.022,3119
1.282,0.333,3119
1.284,0.690,3119
1.286,0.940,3119
1.288,1.062,3119
1.290,1.038,3119
1.292,0.873,3116
1.294,0.573,3116
1.296,0.193,3116
1.298,-0.220,3116
1.300,-0.655,3116
1.302,-1.073,3116
1.304,-1.448,3116
1.306,-1.700,3116
1.308,-1.817,3116
1.310,-1.802,3116
1.312,-1.633,3120
1.314,-1.343,3120
1.316,-0.968,3120
1.318,-0.552,3120
1.320,0.372,3120
1.322,0.718,3120
1.324,0.927,3120
1.326,1.050,3120
1.328,1.022,3120
1.330,0.858,3105
1.332,0.542,3105
1.334,0.175,3105
